UNITID,Name,Address,City,State,ZipCode,Longitude,Latitude,CIP CODE,major_field_of_study_orig,major_field_of_study,TUITPL ,TUITPL1,TUITPL2,TUITPL3,TUITPL4,Room,Board,TUITION1,EFYBKAAT,EFYBKAAM,EFYBKAAW,UAGRNTT,UDGAGRNTT,UNDAGRNTT,UPGRNTT,UDGPGRNTP (%),Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID,Average of Households Median Income (Dollars),Average of TotalPop,Average of Men,Average of Women,Average of Hispanic,Average of White,Average of Black,Average of Native,Average of Asian,Average of Pacific,Average of VotingAgeCitizen,Average of Income,Average of IncomeErr,Average of IncomePerCap,Average of IncomePerCapErr,Average of Poverty,Average of ChildPoverty,Average of Professional,Average of Office,Average of Service,Average of Construction,Average of Production,Average of Carpool,Average of Transit,Average of Drive,Average of Walk,Average of OtherTransp,Average of MeanCommute,Average of Employed,Average of PrivateWork,Average of PublicWork,Average of FamilyWork,Average of Unemployment,Average of SelfEmployed
156356,Alice Lloyd College,"100 Purpose Rd, Pippa Passes, Kentucky 41844",Pippa Passes,KY,41844,-82.875068,37.335087,13,Education,Education,1,0,0,1,0,1,1,27000,99,38,61," $12,414,780.00 "," $12,414,780.00 ", $-   ," $1,481,425.00 ",45,www.alc.edu/,"4-year, Private not-for-profit",Bachelor's degree,Rural: Remote,Yes,565,565,40%,24%,Fall 2016,"$16,596",-,156189,00195100,25492,2196.00,1095.00,1101.00,0.00,98.30,0.20,0.10,0.00,0.00,1796.00,26223.00,4418.00,16957.00,2057.00,37.60,56.90,27.30,22.30,23.30,14.80,12.30,21.50,0.00,72.70,1.30,1.30,37.40,494.00,69.00,28.70,0.00,15.10,2.20
153144,Allen College,"1990 Heath St, Waterloo, Iowa 50703-1999",Waterloo,IA,50703,-92.340148,42.530084,13,Education,Education,1,0,0,1,0,1,2,50314,141,63,78," $54,122,982.00 "," $54,070,873.00 "," $52,109.00 "," $2,524,848.00 ",38,www.allencollege.edu/,"4-year, Private not-for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,No,497,278,NA,NA,Fall 2016,"$31,509",-,152798,03069100,37738,2208.89,1089.44,1119.44,9.88,46.07,38.84,0.27,1.37,1.03,1547.11,31304.22,7116.56,17248.11,3582.11,30.42,43.44,16.89,19.79,24.71,7.06,31.56,16.58,2.86,73.49,2.73,3.02,17.51,920.78,85.16,10.09,0.64,14.93,4.12
154907,Allen County Community College,"1801 N Cottonwood, Iola, Kansas 66749",Iola,KS,66749,-95.396377,37.938038,,Information not available,Engineering & Technology,1,0,0,1,0,1,1,2130,111,44,67," $4,432,319.00 "," $4,276,959.00 "," $155,360.00 "," $1,509,203.00 ",45,https://www.allencc.edu/,"2-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree,Town: Remote,Yes,2007,2007,33%,28%,Fall 2019,"$9,225",-,154642,00190100,49215,2702.75,1337.50,1365.25,4.03,89.53,1.50,0.05,0.53,0.15,2067.00,42940.25,7912.00,21974.00,2377.00,15.10,18.83,28.10,20.38,16.23,8.10,27.18,10.68,0.85,80.13,3.90,0.68,15.80,1271.50,75.15,15.45,0.40,3.65,8.98
262022,Allure Beauty College,"74 Parkway Plaza Loop, Whitesburg, Kentucky 41858",Whitesburg,KY,41858,-82.838909,37.123363,,Information not available,Engineering & Technology,2,0,0,0,0,2,3,.,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,www.allurebeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Rural: Remote,No,25,25,50%,NA,2019-20,"$11,612","Cosmetology/Cosmetologist, General",248192,02526100,35838,2974.50,1531.50,1443.00,0.90,97.40,0.25,0.00,0.00,0.00,2364.50,30010.50,9428.00,18320.00,2769.00,28.90,37.25,36.15,14.35,14.70,13.85,20.90,5.20,0.00,85.35,3.40,3.85,26.80,941.50,73.80,20.95,0.00,11.35,5.30
487588,American College of Barbering,"11320 North Preston Highway, Louisville, Kentucky 40229-2862",Louisville,KY,40229,-85.670147,38.084678,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,551,28,523," $2,469,855.00 "," $2,469,855.00 ", $-   ," $2,200,558.00 ",81,www.americancollegeofbarbering.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,56,56,31%,NA,2019-20,"$19,997",Barbering/Barber,486169,04204800,68309,4738.00,2364.75,2373.25,2.73,84.90,8.15,0.01,1.95,0.04,3588.63,58476.38,7644.63,25797.50,2913.13,10.34,14.61,22.88,28.89,15.26,10.75,22.24,11.46,0.40,84.15,0.26,0.95,23.89,2417.88,87.64,8.71,0.21,6.04,3.45
153621,American Hair Academy,"304 South Iris, Mt. Pleasant, Iowa 52641",Mt. Pleasant,IA,52641,-91.524949,40.962643,13,Education,Education,1,0,0,1,0,1,1,33550,168,128,40," $16,434,844.00 "," $16,406,554.00 "," $28,290.00 "," $1,954,398.00 ",53,americanhairacademy.com/,"2-year, Private for-profit",Two but less than 4 years certificate,Town: Remote,No,20,20,71%,NA,Fall 2019,"$8,805","Cosmetology/Cosmetologist, General",153463,02289000,60241,3973.00,2019.80,1953.20,4.38,89.60,1.80,0.34,2.32,0.04,3038.60,53430.00,5942.60,26443.60,3079.40,12.06,19.42,29.94,20.18,18.28,9.18,22.38,7.74,0.00,83.58,2.52,2.68,19.06,1860.80,76.48,15.30,0.52,5.46,7.68
157298,American National University-Pikeville,"130 South Mayo Trail, Pikeville, Kentucky 41501-1520",Pikeville,KY,41501,-82.607154,37.539398,,Information not available,Engineering & Technology,2,0,0,0,0,1,3,.,32,13,19,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.an.edu/locations/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,Rural: Fringe,No,296,237,27%,NA,Fall 2016,"$15,782",-,157021,01048900,38757,3151.50,1521.25,1630.25,0.95,94.90,1.60,0.50,0.63,0.00,2479.75,34069.00,5860.50,21629.00,3496.25,26.70,36.18,34.15,26.68,17.83,10.93,10.45,8.93,0.00,79.88,8.75,0.63,19.60,1134.75,79.20,15.63,0.00,8.88,5.23
237932,Appalachian Beauty School,"25429 US HWY 119N, Belfry, Kentucky 41514",Belfry,KY,41514,-82.266793,37.624479,13,Education,Education,1,0,1,1,0,1,1,8716,101,77,24," $13,293,951.00 "," $13,153,585.00 "," $140,366.00 "," $3,068,312.00 ",36,appalachianbeautyschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,39,39,75%,NA,2019-20,"$10,706","Cosmetology/Cosmetologist, General",237127,02159100,33056,2904.50,1456.00,1448.50,0.30,97.30,0.70,0.00,1.40,0.00,2217.50,33004.50,8901.00,21074.50,3770.00,19.75,22.50,27.35,29.40,11.10,12.40,19.80,14.10,0.50,83.45,0.00,0.00,24.90,920.00,81.90,13.55,0.75,13.45,3.80
156392,Asbury Theological Seminary,"204 N Lexington Ave, Wilmore, Kentucky 40390-1199",Wilmore,KY,40390,-84.660127,37.861561,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,4368,1637,584,1053," $36,407,276.00 "," $33,834,395.00 "," $2,572,881.00 "," $14,337,002.00 ",49,www.asburyseminary.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship,Town: Fringe,Yes,1747,,NA,NA,Fall 2016,NA,-,156222,00195300,49750,6345.00,3325.00,3020.00,1.10,95.20,1.10,0.80,0.30,0.00,4807.00,43939.00,7437.00,23562.00,3797.00,15.90,24.00,30.80,21.60,17.10,11.90,18.60,7.70,0.50,88.50,1.90,0.00,26.30,2691.00,76.00,20.30,0.00,7.80,3.70
156365,Asbury University,"1 Macklem Dr, Wilmore, Kentucky 40390-1198",Wilmore,KY,40390,-84.662606,37.862029,13,Education,Education,1,0,0,1,0,1,1,25600,1063,410,653," $42,671,509.00 "," $40,619,056.00 "," $2,052,453.00 "," $8,316,424.00 ",57,https://www.asbury.edu/,"4-year, Private not-for-profit",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Town: Fringe,Yes,1650,1404,70%,21%,Fall 2016,"$21,506",-,156213,00195200,49750,6345.00,3325.00,3020.00,1.10,95.20,1.10,0.80,0.30,0.00,4807.00,43939.00,7437.00,23562.00,3797.00,15.90,24.00,30.80,21.60,17.10,11.90,18.60,7.70,0.50,88.50,1.90,0.00,26.30,2691.00,76.00,20.30,0.00,7.80,3.70
156408,Ashland Community and Technical College,"1400 College Drive, Ashland, Kentucky 41101-3683",Ashland,KY,41101,-82.650664,38.469201,26,Biological Sciences/Life Sciences,Biological Sciences/Life Sciences,1,0,0,1,0,1,1,48070,79,48,31," $46,308,986.00 "," $46,308,986.00 ", $-   ," $1,396,086.00 ",22,https://ashland.kctcs.edu/,"2-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate,City: Small,No,2515,2515,47%,9%,Fall 2019,"$6,658",-,156231,00199000,46122,3084.83,1516.50,1568.33,1.73,90.88,3.72,0.17,0.68,0.00,2380.83,36326.83,7051.67,22036.67,4003.17,28.18,42.90,35.97,22.77,19.97,7.32,14.00,13.72,0.27,74.65,7.98,2.37,19.30,1182.67,80.12,15.65,0.00,10.18,4.23
445850,ATA College,"10200 Linn Station Rd Ste 125, Louisville, Kentucky 40223",El Cajon,CA,92020,-116.981781,32.819023,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,215,0,215," $732,233.00 "," $732,233.00 ", $-   ," $715,675.00 ",67,www.ata.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,264,264,37%,16%,Fall 2019,"$25,871",-,447935,04038300,64691,4598.36,2348.09,2250.27,26.93,58.23,5.34,0.28,3.89,0.35,2865.82,57319.82,9223.55,25931.64,3674.09,20.88,27.54,30.42,26.81,22.85,9.53,10.40,11.22,5.02,75.16,1.13,1.75,26.69,1997.55,76.12,15.73,0.23,10.21,7.93
159966,Aveda Arts & Sciences Institute-Baton Rouge,"2834 S Sherwood Forest Blvd Ste A, Baton Rouge, Louisiana 70816-2246",Baton Rouge,LA,70816,-91.054583,30.425932,13,Education,Education,1,0,0,1,0,1,2,4922,1236,416,820," $40,391,466.00 "," $40,125,447.00 "," $266,019.00 "," $9,448,121.00 ",38,avedaarts.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,183,183,73%,NA,2019-20,"$21,508","Cosmetology/Cosmetologist, General",159513,02258400,61215,6220.13,3012.75,3207.38,6.78,46.10,37.81,0.40,6.05,0.00,4564.50,54644.25,7865.63,30015.00,4439.50,14.28,23.50,36.04,26.38,16.83,9.64,11.15,11.39,0.31,83.24,1.80,0.49,22.79,3230.63,82.25,13.50,0.09,6.23,4.19
160630,Aveda Arts & Sciences Institute-Covington,"1355 Polders Lane, Covington, Louisiana 70433",Covington,LA,70433,-90.104008,30.494049,13,Education,Education,1,0,0,1,0,1,2,4483,2415,654,1761," $6,511,712.00 "," $6,507,554.00 "," $4,158.00 "," $3,760,694.00 ",60,avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Small,No,2499,2499,75%,NA,2019-20,"$22,650","Cosmetology/Cosmetologist, General",160320,02600900,71772,6715.63,3306.25,3409.38,3.95,81.39,11.16,0.43,1.66,0.03,4896.25,69370.50,9736.50,35781.13,4740.50,10.34,13.39,41.39,27.16,15.53,8.19,7.70,11.49,0.71,79.58,1.33,2.65,28.16,3184.88,79.84,13.08,0.21,5.35,6.86
159993,Aveda Arts & Sciences Institute-Lafayette,"2922 Johnston St, Lafayette, Louisiana 70503-3246",Lafayette,LA,70503,-92.042092,30.206168,13,Education,Education,1,0,0,1,0,1,1,5788,2210,617,1593," $60,486,027.00 "," $60,466,419.00 "," $19,608.00 "," $11,591,757.00 ",44,avedaarts.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,170,170,87%,NA,2019-20,"$25,350","Cosmetology/Cosmetologist, General",159522,02117800,83063,5454.43,2639.71,2814.71,5.00,79.99,9.96,0.34,3.41,0.00,4203.29,63886.14,10193.86,36528.57,5709.57,13.83,9.61,41.73,26.66,17.60,6.77,7.21,8.19,0.94,81.44,3.39,1.34,20.91,2896.29,80.66,11.63,0.47,4.86,7.24
476869,Aveda Institute-Des Moines,"6905 Mills Civic Pkwy Suite 120, West Des Moines, Iowa 50266",West Des Moines,IA,50266,-93.802586,41.562675,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,3,1,2," $427,434.00 "," $427,434.00 ", $-   ," $311,904.00 ",59,avedainstitutedesmoines.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Small,No,180,180,100%,NA,Fall 2019,"$14,697","Cosmetology/Cosmetologist, General",475015,04203300,79463,5559.40,2662.80,2896.60,3.96,81.90,4.28,0.08,8.16,0.08,4020.20,76737.80,8465.80,49031.20,6116.00,5.44,5.76,54.24,24.92,11.52,2.84,6.42,5.64,2.96,85.00,1.04,1.14,17.02,3398.60,84.80,10.54,0.00,2.38,4.64
159391,Avery James College,"2948 Ryan Street, Lake Charles, Louisiana 70601",Lake Charles,LA,70601,-93.219712,30.202601,13,Education,Education,1,0,0,1,0,1,2,8038,6289,2362,3927," $300,361,260.00 "," $298,818,653.00 "," $1,542,607.00 "," $37,672,984.00 ",27,averyjamesschool.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,64,64,14%,3%,2019-20,"$17,493","Cosmetology/Cosmetologist, General",158778,00989800,44108,3064.18,1467.73,1596.45,3.09,27.31,67.46,0.19,0.28,0.00,2319.45,30285.64,6496.27,20875.09,4090.27,29.66,44.97,22.57,21.55,34.15,8.98,12.75,10.83,0.77,81.63,3.08,2.94,17.12,1257.55,82.50,13.40,0.09,10.66,4.02
158802,Ayers Career College,"8820 Jewella Ave, Shreveport, Louisiana 71118",Shreveport,LA,71118,-93.798229,32.418291,26,Biological Sciences/Life Sciences,Biological Sciences/Life Sciences,1,0,0,1,0,1,1,18280,1077,249,828," $21,107,966.00 "," $21,105,047.00 "," $2,919.00 "," $4,244,300.00 ",68,www.ayers.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,128,128,73%,NA,2019-20,"$16,158",Medical/Clinical Assistant,158246,00462100,50590,6743.75,3063.75,3680.00,0.93,40.68,53.68,1.00,1.48,0.08,4955.00,40985.25,10471.25,21419.75,2693.00,20.23,28.60,26.83,27.08,25.45,7.53,13.13,4.83,0.40,91.63,0.33,0.25,19.73,3052.25,81.78,14.85,0.00,6.43,3.35
154925,Baker University,"615 Dearborn Street, Baldwin City, Kansas 66006-0065",Baldwin City,KS,66006,-95.187346,38.778712,,Information not available,Engineering & Technology,1,0,0,1,0,1,1,1248,333,264,69," $6,700,339.00 "," $6,271,697.00 "," $428,642.00 "," $2,165,966.00 ",51,https://www.bakeru.edu/,"4-year, Private not-for-profit",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Town: Fringe,Yes,2105,1509,48%,38%,Fall 2016,"$23,957",-,154688,00190300,80302,5897.50,3021.50,2876.00,3.45,90.95,1.20,0.75,0.15,0.05,4571.00,77242.50,11687.50,36371.00,4441.50,5.10,5.20,44.05,21.45,13.15,11.55,9.80,8.45,0.00,83.30,3.30,1.00,26.40,3034.50,71.20,20.30,0.00,5.40,8.55
155195,Barclay College,"607 N Kingman, Haviland, Kansas 67059-0288",Haviland,KS,67059,-99.105351,37.62012,,Information not available,Engineering & Technology,1,0,0,1,0,1,1,2550,408,221,187," $12,176,110.00 "," $11,596,081.00 "," $580,029.00 "," $5,786,095.00 ",39,www.barclaycollege.edu/,"4-year, Private not-for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate,Rural: Remote,Yes,169,152,42%,NA,Fall 2016,"$26,926",-,155070,00191700,60938,1972.00,976.50,995.50,13.95,83.70,0.50,0.30,0.60,0.00,1417.50,50798.00,4096.00,27825.50,3070.50,8.50,10.85,37.80,17.05,14.15,14.95,16.00,7.15,0.10,79.90,4.70,2.70,17.65,993.50,69.55,18.15,0.50,2.80,11.75
154934,Barton County Community College,"245 NE 30th Road, Great Bend, Kansas 67530",Great Bend,KS,67530,-98.731648,38.403529,,Information not available,Engineering & Technology,1,0,0,1,0,1,1,2509,175,126,49," $3,889,517.00 "," $3,689,713.00 "," $199,804.00 "," $1,588,978.00 ",44,https://www.bartonccc.edu/,"2-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree,Rural: Fringe,Yes,4269,4269,41%,17%,Fall 2019,"$9,073",-,154697,00460800,51064,3729.50,1851.83,1877.67,16.42,79.72,1.03,0.22,0.17,0.30,2650.67,45457.33,8549.67,27217.50,4649.00,14.43,17.58,27.93,24.53,18.17,12.80,16.57,11.47,0.83,82.02,1.63,0.87,17.45,1883.67,77.78,14.72,0.18,3.92,7.35
439817,Baton Rouge Community College,"201 Community College Drive, Baton Rouge, Louisiana 70806",Baton Rouge,LA,70806,-91.137935,30.448276,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,.,69,23,46,#N/A,#N/A,#N/A,#N/A,#N/A,www.mybrcc.edu/,"2-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Midsize,No,9284,9284,16%,16%,Fall 2019,"$9,591",-,437103,03730300,47591,3415.89,1626.11,1789.78,2.71,48.58,44.52,0.10,2.89,0.07,2519.67,50821.44,10192.44,31334.78,5573.78,24.33,31.17,40.87,20.26,21.49,9.93,7.44,12.12,3.58,76.74,2.37,1.71,20.33,1587.67,78.01,16.34,0.07,7.07,5.58
158884,Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,"3616 North Blvd, Baton Rouge, Louisiana 70806",Baton Rouge,LA,70806,-91.152502,30.447919,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,3335,1196,325,871," $4,899,171.00 "," $4,896,709.00 "," $2,462.00 "," $4,167,118.00 ",70,www.brgeneral.org/medical-education/school-of-nursing/ OR school of radiologic technology,"2-year, Private not-for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Midsize,No,,,NA,NA,Fall 2019,NA,-,158325,02335700,47591,3415.89,1626.11,1789.78,2.71,48.58,44.52,0.10,2.89,0.07,2519.67,50821.44,10192.44,31334.78,5573.78,24.33,31.17,40.87,20.26,21.49,9.93,7.44,12.12,3.58,76.74,2.37,1.71,20.33,1587.67,78.01,16.34,0.07,7.07,5.58
260691,Beckfield College-Florence,"16 Spiral Drive, Florence, Kentucky 41042",Florence,KY,41042,-84.641475,39.017166,,Information not available,Engineering & Technology,1,1,0,1,0,2,3,#N/A,64,15,49," $3,288,743.00 "," $3,288,743.00 ", $-   ," $2,667,668.00 ",47,www.beckfield.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree,Suburb: Large,No,653,653,42%,NA,Fall 2016,"$25,602",-,247065,02491100,68684,5980.80,2924.70,3056.10,4.01,88.47,3.54,0.17,2.40,0.00,4344.00,63935.50,8566.20,28821.70,3333.70,9.44,15.39,33.30,28.88,15.83,7.11,14.85,9.72,0.94,85.27,0.62,0.91,22.62,3157.20,87.24,9.45,0.15,4.74,3.13
#N/A,Belbo Beauty Institute,"1141 Shreveport Barksdale Highway, Shreveport, Louisiana 71105",#N/A,#N/A,#N/A,#N/A,#N/A,,Information not available,Engineering & Technology,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,https://www.belbobeautyinstitute.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,43,43,45%,NA,2019-20,"$21,407","Cosmetology/Cosmetologist, General",159027,02582200,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
156426,Bellarmine University,"2001 Newburg Rd, Louisville, Kentucky 40205-0671",Louisville,KY,40205,-85.704997,38.219279,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,25,1,24," $822,079.00 "," $822,079.00 ", $-   ," $682,450.00 ",48,https://www.bellarmine.edu/,"4-year, Private not-for-profit",Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,2970,2343,60%,27%,Fall 2016,"$22,813",-,156286,00195400,88033,4121.22,1947.11,2174.11,1.66,92.71,2.01,0.12,1.36,0.00,3360.22,77539.89,10127.67,42851.44,5014.11,8.14,7.99,55.23,21.56,13.00,3.56,6.63,7.26,1.01,82.07,2.10,1.78,18.77,2177.33,79.71,14.37,0.06,4.77,5.84
481340,Bellus Academy,"1130 Westloop Place, Manhattan, Kansas 66502-2838",Manhattan,KS,66502,-96.60827,39.191749,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,4,0,4," $97,558.00 "," $97,558.00 ", $-   ," $97,558.00 ",37,www.bellusacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,203,203,71%,NA,Fall 2019,"$23,409","Cosmetology/Cosmetologist, General",478953,02343401,48238,5605.29,2867.86,2737.43,7.61,79.53,5.74,0.47,4.33,0.13,4307.86,45217.00,7964.00,24627.57,3694.29,28.40,8.39,40.07,21.01,24.21,7.31,7.33,8.40,0.29,74.07,9.56,3.67,15.70,3085.71,69.66,25.74,0.19,4.73,4.44
154952,Benedictine College,"1020 N 2nd St, Atchison, Kansas 66002-1499",Atchison,KS,66002,-95.113858,39.573079,,Information not available,Engineering & Technology,1,0,0,1,0,1,1,1950,205,82,123," $9,305,365.00 "," $9,058,707.00 "," $246,658.00 "," $3,328,764.00 ",45,www.benedictine.edu/,"4-year, Private not-for-profit",Bachelor's degree;Master's degree,Town: Distant,Yes,2362,2289,68%,23%,Fall 2016,"$30,067",-,154712,01025600,52056,4116.50,1989.25,2127.25,2.53,89.30,3.00,0.48,0.35,0.03,3118.50,47098.75,6919.50,24696.00,4205.00,19.18,23.35,32.18,23.78,18.10,8.48,17.50,9.20,0.00,77.98,7.00,0.73,19.08,1917.25,79.35,14.75,0.30,5.83,5.58
156471,Berea College,"101 Chestnut Street, Berea, Kentucky 40404-2182",Berea,KY,40404,-84.292893,37.57202,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,704,43,661," $22,957,136.00 "," $22,957,136.00 ", $-   ," $6,257,504.00 ",32,https://www.berea.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Distant,Yes,1433,1433,62%,23%,Fall 2016,"$2,020",-,156295,00195500,53036,4598.17,2261.67,2336.50,2.75,92.38,2.35,0.05,0.52,0.00,3439.00,47101.83,7399.33,21121.33,2525.67,19.77,21.80,32.32,20.10,21.02,8.75,17.78,8.57,0.17,75.55,8.35,2.52,23.25,2126.00,77.23,16.07,0.05,6.58,6.67
154998,Bethany College,"335 E Swensson St, Lindsborg, Kansas 67456-1897",Lindsborg,KS,67456,-97.67367,38.580598,,Information not available,Engineering & Technology,1,0,0,1,0,1,1,870,191,146,45," $4,318,377.00 "," $3,880,408.00 "," $437,969.00 "," $2,047,590.00 ",45,https://www.bethanylb.edu/,"4-year, Private not-for-profit",Bachelor's degree,Town: Remote,Yes,744,744,29%,NA,Fall 2016,"$29,546",-,154721,00190400,58628,3185.50,1460.00,1725.50,4.55,92.85,1.55,0.05,0.45,0.00,2432.50,62154.00,9221.00,28075.00,2879.50,6.20,5.35,40.80,17.60,18.25,10.30,12.95,7.15,0.15,78.05,8.50,0.20,16.90,1704.50,74.20,14.80,0.75,3.20,10.25
155007,Bethel College-North Newton,"300 E 27th St, North Newton, Kansas 67117-1716",North Newton,KS,67117,-97.343256,38.075169,52,Business Management & Admin Services,Business Management & Admin Services,1,0,0,1,0,2,3,9917,157,32,125," $1,992,064.00 "," $1,990,987.00 "," $1,077.00 "," $856,086.00 ",58,www.bethelks.edu/,"4-year, Private not-for-profit",Less than one year certificate;Bachelor's degree,Town: Distant,Yes,497,497,52%,NA,Fall 2016,"$24,630",-,154749,00190500,59837,5572.00,2744.40,2827.60,13.64,80.92,2.18,0.18,0.70,0.20,4053.00,52842.20,6824.40,26797.60,2731.80,11.30,14.26,37.82,19.10,16.88,9.08,17.12,10.86,0.06,79.10,2.92,2.40,19.12,2782.20,80.10,13.98,0.72,2.46,5.20
157793,Big Sandy Community and Technical College,"1 Bert Combs Dr, Prestonsburg, Kentucky 41653",Prestonsburg,KY,41653,-82.778847,37.688248,52,Business Management & Admin Services,Business Management & Admin Services,2,0,0,0,0,1,1,14220,772,239,533," $10,536,589.00 "," $10,536,589.00 ", $-   ," $5,879,896.00 ",65,https://bigsandy.kctcs.edu/,"2-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate,Town: Remote,No,2576,2576,27%,12%,Fall 2019,"$5,595",-,157553,00199600,40315,4038.00,1893.00,2145.00,0.97,96.33,1.30,0.00,1.07,0.00,3202.67,35131.00,5223.33,22101.00,3776.67,25.10,30.00,33.57,28.77,19.67,7.30,10.73,5.07,0.60,90.87,1.70,0.10,19.63,1424.33,70.70,24.30,0.00,7.80,4.97
377315,Blalock's Professional Beauty College,"8101 Kingston Rd Ste 103, Shreveport, Louisiana 71108-5745",Shreveport,LA,71108,-93.783796,32.426523,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,6,0,6," $778,916.00 "," $778,916.00 ", $-   ," $645,536.00 ",64,blalockbeauty.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,26,26,81%,NA,2019-20,"$19,006","Cosmetology/Cosmetologist, General",373456,03027300,30726,4734.60,2112.00,2622.60,1.72,9.28,86.84,0.52,0.76,0.06,3242.00,25572.80,5295.20,12339.40,2202.40,41.22,58.92,14.80,26.38,33.36,10.38,15.08,11.22,5.02,78.62,2.48,1.46,19.82,1706.80,83.96,9.88,0.00,12.60,6.16
451626,Blue Cliff College-Alexandria,"1505 Metro Dr Ste 1, Alexandria, Louisiana 71301",Alexandria,LA,71301,-92.475371,31.276699,,Information not available,Engineering & Technology,1,0,0,1,0,2,3,#N/A,1,0,1," $412,721.00 "," $412,721.00 ", $-   ," $412,721.00 ",65,bluecliffcollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Small,No,533,533,39%,NA,Fall 2019,"$24,522",Medical/Clinical Assistant,450128,03294304,36989,2732.80,1353.20,1379.60,1.34,27.34,67.26,0.16,2.46,0.00,2022.60,25296.80,5375.80,17427.40,3638.40,37.14,45.80,25.78,18.52,35.54,9.16,11.02,13.32,6.74,68.42,2.50,7.22,16.60,938.80,77.58,18.22,0.00,12.74,4.20
